file,window,fric,,,,,,,,,,,,,,
NEON_D17_TEAK_DP3_314000_4093000_reflectance.h5,15,2993.725726,,,,,,,,,,,,,,
NEON_D17_TEAK_DP3_314000_4093000_reflectance.h5,30,14528.13469,,,,,,,,,,,,,,
NEON_D17_TEAK_DP3_314000_4093000_reflectance.h5,100,114375.5222,,,,,,,,,,,,,,
NEON_D17_TEAK_DP3_314000_4093000_reflectance.h5,200,207669.8538,,,,,,,,,,,,,,
NEON_D17_TEAK_DP3_314000_4093000_reflectance.h5,300,235615.959,,,,,,,,,,,,,,
NEON_D17_TEAK_DP3_314000_4093000_reflectance.h5,400,186760.1833,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_314000_4096000_reflectance.h5
file_to_use,5,408.9043817,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_314000_4101000_reflectance.h5
file_to_use,10,24471.42218,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_315000_4096000_reflectance.h5
file_to_use,50,130027.9423,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_315000_4106000_reflectance.h5
file_to_use,150,388431.4267,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_315000_4107000_reflectance.h5
file_to_use,200,368826.6733,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_315000_4108000_reflectance.h5
file_to_use,300,354394.2534,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5
file_to_use,400,271685.4817,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_318000_4093000_reflectance.h5
NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5,15,2234.688461,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_318000_4095000_reflectance.h5
NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5,30,5241.635897,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_318000_4097000_reflectance.h5
NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5,100,72091.0024,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_318000_4101000_reflectance.h5
NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5,200,316543.887,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_318000_4105000_reflectance.h5
NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5,300,374868.2369,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_319000_4108000_reflectance.h5
NEON_D17_TEAK_DP3_317000_4091000_reflectance.h5,400,309353.5705,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_321000_4093000_reflectance.h5
NEON_D17_TEAK_DP3_314000_4101000_reflectance.h5,15,14396.2046,,,,,,,,,,,,,,NEON_D17_TEAK_DP3_322000_4093000_reflectance.h5
